,pathway_name,pathway_description,ko_id
7,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),K00149
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K12047
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K12316
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K12317
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K01203
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K00963
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K01513
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K05350
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K00693
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K00750
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K00700
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K00688
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K01196
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K01176
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K01194
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K01835
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K15779
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K00844
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K12407
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K01084
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K11809
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human),K01810
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01183
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K12373
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00884
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01443
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K02564
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00844
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00820
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00621
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01836
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K18674
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00972
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K12409
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01787
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K05304
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01097
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01639
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K21749
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00326
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K08678
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K12407
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01835
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K15779
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00963
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00012
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00849
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00965
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01784
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01810
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01809
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K17497
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00966
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01711
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K02377
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K05305
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00976
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01895
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00161
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00162
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00627
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00382
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K13951
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K13980
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K13952
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00121
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00002
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00873
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K12406
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K11262
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01946
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01512
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00128
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K14085
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00149
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01067
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00016
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00102
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01759
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01069
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00049
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00027
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00029
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01958
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00025
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00026
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01679
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01596
10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00626
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K01895
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K00025
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K00026
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K01647
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K01681
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K00626
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K05606
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K01965
