,pathway_name,pathway_description,ko_id
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K12349
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K01441
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K04711
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K04712
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K04714
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K12350
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K12351
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K12352
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K12353
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K12354
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K04715
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K01080
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K04716
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K04717
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K04718
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K01634
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K00720
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K01201
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K17108
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K07553
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K09905
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K12309
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K04628
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K01202
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K01019
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K01134
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K01186
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K12357
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K01189
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K00725
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K12373
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K12383
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K12382
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K01047
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K16342
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K16343
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K14621
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K16817
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K00509
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K11987
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K15729
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K05309
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K15730
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K00079
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K00084
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K15717
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K00069
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K01832
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K01830
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K04097
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K04119
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K01831
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K00461
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K01254
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K07119
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K13949
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K13948
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K17726
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K00807
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K18592
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K05361
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K07415
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K07418
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K07422
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K17721
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K17728
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K00458
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K18684
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K08021
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K08022
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K17709
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K17718
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K17719
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K08726
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human),K00460
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human),K01047
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human),K16342
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human),K16343
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human),K14621
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human),K16817
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human),K00460
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human),K07409
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human),K17718
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human),K17719
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human),K17721
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human),K07418
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human),K07415
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human),K17689
23,hsa00592,alpha-Linolenic acid metabolism - Homo sapiens (human),K01047
23,hsa00592,alpha-Linolenic acid metabolism - Homo sapiens (human),K16342
23,hsa00592,alpha-Linolenic acid metabolism - Homo sapiens (human),K16343
23,hsa00592,alpha-Linolenic acid metabolism - Homo sapiens (human),K14621
23,hsa00592,alpha-Linolenic acid metabolism - Homo sapiens (human),K16817
23,hsa00592,alpha-Linolenic acid metabolism - Homo sapiens (human),K10226
23,hsa00592,alpha-Linolenic acid metabolism - Homo sapiens (human),K00232
23,hsa00592,alpha-Linolenic acid metabolism - Homo sapiens (human),K07513
24,hsa00230,Purine metabolism - Homo sapiens (human),K13988
24,hsa00230,Purine metabolism - Homo sapiens (human),K01517
24,hsa00230,Purine metabolism - Homo sapiens (human),K13987
24,hsa00230,Purine metabolism - Homo sapiens (human),K01835
24,hsa00230,Purine metabolism - Homo sapiens (human),K15779
24,hsa00230,Purine metabolism - Homo sapiens (human),K00948
24,hsa00230,Purine metabolism - Homo sapiens (human),K00764
24,hsa00230,Purine metabolism - Homo sapiens (human),K11787
24,hsa00230,Purine metabolism - Homo sapiens (human),K01952
24,hsa00230,Purine metabolism - Homo sapiens (human),K01587
24,hsa00230,Purine metabolism - Homo sapiens (human),K01756
24,hsa00230,Purine metabolism - Homo sapiens (human),K00602
24,hsa00230,Purine metabolism - Homo sapiens (human),K00759
24,hsa00230,Purine metabolism - Homo sapiens (human),K01081
24,hsa00230,Purine metabolism - Homo sapiens (human),K19970
24,hsa00230,Purine metabolism - Homo sapiens (human),K03783
24,hsa00230,Purine metabolism - Homo sapiens (human),K05810
24,hsa00230,Purine metabolism - Homo sapiens (human),K00760
24,hsa00230,Purine metabolism - Homo sapiens (human),K00088
24,hsa00230,Purine metabolism - Homo sapiens (human),K00940
24,hsa00230,Purine metabolism - Homo sapiens (human),K18533
24,hsa00230,Purine metabolism - Homo sapiens (human),K01510
24,hsa00230,Purine metabolism - Homo sapiens (human),K12304
24,hsa00230,Purine metabolism - Homo sapiens (human),K12305
24,hsa00230,Purine metabolism - Homo sapiens (human),K01511
24,hsa00230,Purine metabolism - Homo sapiens (human),K16855
24,hsa00230,Purine metabolism - Homo sapiens (human),K01519
24,hsa00230,Purine metabolism - Homo sapiens (human),K00106
24,hsa00230,Purine metabolism - Homo sapiens (human),K01518
24,hsa00230,Purine metabolism - Homo sapiens (human),K01951
24,hsa00230,Purine metabolism - Homo sapiens (human),K00364
24,hsa00230,Purine metabolism - Homo sapiens (human),K01487
24,hsa00230,Purine metabolism - Homo sapiens (human),K00942
24,hsa00230,Purine metabolism - Homo sapiens (human),K10807
24,hsa00230,Purine metabolism - Homo sapiens (human),K10808
24,hsa00230,Purine metabolism - Homo sapiens (human),K07023
24,hsa00230,Purine metabolism - Homo sapiens (human),K00904
24,hsa00230,Purine metabolism - Homo sapiens (human),K00893
24,hsa00230,Purine metabolism - Homo sapiens (human),K21138
24,hsa00230,Purine metabolism - Homo sapiens (human),K01514
24,hsa00230,Purine metabolism - Homo sapiens (human),K08041
24,hsa00230,Purine metabolism - Homo sapiens (human),K08042
24,hsa00230,Purine metabolism - Homo sapiens (human),K08043
24,hsa00230,Purine metabolism - Homo sapiens (human),K08044
24,hsa00230,Purine metabolism - Homo sapiens (human),K08045
24,hsa00230,Purine metabolism - Homo sapiens (human),K08046
24,hsa00230,Purine metabolism - Homo sapiens (human),K08047
24,hsa00230,Purine metabolism - Homo sapiens (human),K08048
24,hsa00230,Purine metabolism - Homo sapiens (human),K08049
24,hsa00230,Purine metabolism - Homo sapiens (human),K11265
24,hsa00230,Purine metabolism - Homo sapiens (human),K12318
24,hsa00230,Purine metabolism - Homo sapiens (human),K12319
24,hsa00230,Purine metabolism - Homo sapiens (human),K12320
24,hsa00230,Purine metabolism - Homo sapiens (human),K12321
24,hsa00230,Purine metabolism - Homo sapiens (human),K12322
24,hsa00230,Purine metabolism - Homo sapiens (human),K12323
24,hsa00230,Purine metabolism - Homo sapiens (human),K12324
24,hsa00230,Purine metabolism - Homo sapiens (human),K13755
24,hsa00230,Purine metabolism - Homo sapiens (human),K18283
24,hsa00230,Purine metabolism - Homo sapiens (human),K19021
24,hsa00230,Purine metabolism - Homo sapiens (human),K13296
24,hsa00230,Purine metabolism - Homo sapiens (human),K13762
24,hsa00230,Purine metabolism - Homo sapiens (human),K08718
24,hsa00230,Purine metabolism - Homo sapiens (human),K13756
24,hsa00230,Purine metabolism - Homo sapiens (human),K13757
24,hsa00230,Purine metabolism - Homo sapiens (human),K13758
24,hsa00230,Purine metabolism - Homo sapiens (human),K13759
24,hsa00230,Purine metabolism - Homo sapiens (human),K13760
24,hsa00230,Purine metabolism - Homo sapiens (human),K13761
24,hsa00230,Purine metabolism - Homo sapiens (human),K18438
24,hsa00230,Purine metabolism - Homo sapiens (human),K13298
24,hsa00230,Purine metabolism - Homo sapiens (human),K01939
24,hsa00230,Purine metabolism - Homo sapiens (human),K01490
24,hsa00230,Purine metabolism - Homo sapiens (human),K00856
24,hsa00230,Purine metabolism - Homo sapiens (human),K01488
24,hsa00230,Purine metabolism - Homo sapiens (human),K19572
24,hsa00230,Purine metabolism - Homo sapiens (human),K00939
24,hsa00230,Purine metabolism - Homo sapiens (human),K18532
24,hsa00230,Purine metabolism - Homo sapiens (human),K00944
24,hsa00230,Purine metabolism - Homo sapiens (human),K01509
24,hsa00230,Purine metabolism - Homo sapiens (human),K06928
24,hsa00230,Purine metabolism - Homo sapiens (human),K01513
24,hsa00230,Purine metabolism - Homo sapiens (human),K13293
24,hsa00230,Purine metabolism - Homo sapiens (human),K18436
24,hsa00230,Purine metabolism - Homo sapiens (human),K18437
24,hsa00230,Purine metabolism - Homo sapiens (human),K01522
24,hsa00230,Purine metabolism - Homo sapiens (human),K18424
24,hsa00230,Purine metabolism - Homo sapiens (human),K13811
24,hsa00230,Purine metabolism - Homo sapiens (human),K13485
24,hsa00230,Purine metabolism - Homo sapiens (human),K01477
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K11540
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K00254
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K13421
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K13800
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K13809
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K00940
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K18533
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K01510
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K12304
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K12305
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K01511
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K01513
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K25435
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K01518
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K01937
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K00876
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K01081
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K19970
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K00757
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K24242
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K01489
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K10807
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K10808
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K16904
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K07023
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K00893
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K01493
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K00943
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K01520
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K00758
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K00857
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K00560
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K00207
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K01464
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human),K01431
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K14454
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K14455
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K03334
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K00272
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K13051
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K01953
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K13566
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K00814
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K00830
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K00827
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K01940
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K01755
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K01939
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K01756
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K18309
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K18310
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K18311
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K14592
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K01437
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K01580
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K13524
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K00139
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K00261
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K00294
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K01915
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K11540
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K01425
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K01948
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K00820
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",K00764
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00600
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00830
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00049
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K11529
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K01834
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K01837
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00058
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00831
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K01079
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00639
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00643
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00274
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00276
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00281
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00605
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00382
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K02437
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00273
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00827
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00613
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00542
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00108
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K14085
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00544
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00315
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00306
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00314
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K00552
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K01697
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K01758
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K17989
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",K12235
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K01758
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00816
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K01697
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00544
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00547
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00548
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00789
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K01611
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00797
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00802
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00772
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K05810
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K08963
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K08964
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K09880
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K08967
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00815
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K03334
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00552
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00558
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K17398
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K17399
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K01251
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00826
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00827
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K11204
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K11205
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K21456
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00456
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K14454
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K14455
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K01011
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00016
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00025
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00026
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K17989
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00058
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),K00831
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00613
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00542
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00933
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K01583
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K01581
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00797
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00802
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K01611
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K11182
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K12259
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00128
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K14085
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00149
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K05604
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K08660
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K14755
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00657
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00274
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K27001
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K13240
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K13241
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K13242
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K01476
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00819
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00286
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00318
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00294
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K12657
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K11142
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00472
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K11394
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K14454
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K14455
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K18123
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K00273
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human),K18384
30,hsa00340,Histidine metabolism - Homo sapiens (human),K01745
30,hsa00340,Histidine metabolism - Homo sapiens (human),K01712
30,hsa00340,Histidine metabolism - Homo sapiens (human),K01468
30,hsa00340,Histidine metabolism - Homo sapiens (human),K13990
30,hsa00340,Histidine metabolism - Homo sapiens (human),K01590
30,hsa00340,Histidine metabolism - Homo sapiens (human),K11182
30,hsa00340,Histidine metabolism - Homo sapiens (human),K00128
30,hsa00340,Histidine metabolism - Homo sapiens (human),K14085
30,hsa00340,Histidine metabolism - Homo sapiens (human),K00149
30,hsa00340,Histidine metabolism - Homo sapiens (human),K01437
30,hsa00340,Histidine metabolism - Homo sapiens (human),K00546
30,hsa00340,Histidine metabolism - Homo sapiens (human),K00274
30,hsa00340,Histidine metabolism - Homo sapiens (human),K00129
30,hsa00340,Histidine metabolism - Homo sapiens (human),K14755
30,hsa00340,Histidine metabolism - Homo sapiens (human),K19787
30,hsa00340,Histidine metabolism - Homo sapiens (human),K08660
30,hsa00340,Histidine metabolism - Homo sapiens (human),K05604
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K14454
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K14455
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00815
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K03334
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00457
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00451
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K01800
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K01555
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00505
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00501
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K01827
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00506
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K01593
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00503
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00553
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00545
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00274
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00276
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00129
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K13951
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K13980
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00121
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K13952
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00431
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K00157
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K01557
31,hsa00350,Tyrosine metabolism - Homo sapiens (human),K07253
32,hsa00360,Phenylalanine metabolism - Homo sapiens (human),K00500
32,hsa00360,Phenylalanine metabolism - Homo sapiens (human),K01593
32,hsa00360,Phenylalanine metabolism - Homo sapiens (human),K00276
32,hsa00360,Phenylalanine metabolism - Homo sapiens (human),K00274
32,hsa00360,Phenylalanine metabolism - Homo sapiens (human),K00129
