,Unnamed: 0,pathway_name,pathway_description,ko_id
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00972
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K12409
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01787
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K05304
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01097
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01639
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K21749
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00326
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K08678
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K12407
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01835
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K15779
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00963
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00012
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00849
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00965
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01784
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01810
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01809
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K17497
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00966
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K01711
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K02377
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K05305
9,9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),K00976
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01895
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00161
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00162
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00627
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00382
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K13951
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K13980
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K13952
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00121
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00002
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00873
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K12406
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K11262
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01946
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01512
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00128
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K14085
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00149
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01067
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00016
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00102
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01759
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01069
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00049
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00027
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00029
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01958
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00025
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00026
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01679
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K01596
10,10,hsa00620,Pyruvate metabolism - Homo sapiens (human),K00626
11,11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K01895
11,11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K00025
11,11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K00026
11,11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K01647
11,11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K01681
